entry,year,tobacco_prod
CG,2010,420
CG,2009,375
CG,2008,341
CG,2007,299
CG,2006,300
CG,2005,297
CG,2004,296
CG,2003,320
CG,2002,250
CG,2001,224
CG,2000,200
CG,1999,176
CG,1998,150
CG,1997,100
CG,1996,91
CG,1995,127
CG,1994,131
CG,1993,150
CG,1992,150
CG,1991,132
CG,1990,128
CG,1989,200
CG,1988,100
CG,1987,100
CG,1986,112
CG,1985,93
CG,1984,290
CG,1983,203
CG,1982,427
CG,1981,400
CG,1980,473
CG,1979,637
CG,1978,448
CG,1977,606
CG,1976,1008
CG,1975,1014
CG,1974,1010
CG,1973,1150
CG,1972,972
CG,1971,990
CG,1970,840
CG,1969,767
CG,1968,639
CG,1967,745
CG,1966,634
CG,1965,439
CG,1964,392
CG,1963,500
CG,1962,572
CG,1961,560
CR,2016,14
CR,2015,40
CR,2014,60
CR,2013,60
CR,2012,37
CR,2011,76
CR,2010,79
CR,2009,62
CR,2008,79
CR,2007,122
CR,2006,120
CR,2005,109
CR,2004,118
CR,2003,92
CR,2002,92
CR,2001,92
CR,2000,187
CR,1999,187
CR,1998,600
CR,1997,428
CR,1996,799
CR,1995,929
CR,1994,1797
CR,1993,2050
CR,1992,1936
CR,1991,1305
CR,1990,1717
CR,1989,1430
CR,1988,1782
CR,1987,1654
CR,1986,1589
CR,1985,1971
CR,1984,2375
CR,1983,1934
CR,1982,1322
CR,1981,1697
CR,1980,1609
CR,1979,2084
CR,1978,2385
CR,1977,2756
CR,1976,3186
CR,1975,2978
CR,1974,2776
CR,1973,2522
CR,1972,1935
CR,1971,1684
CR,1970,1593
CR,1969,1346
CR,1968,1568
CR,1967,1482
CR,1966,1569
CR,1965,1492
CR,1964,1360
CR,1963,1494
CR,1962,1632
CR,1961,1167
CI,2016,8766
CI,2015,8903
CI,2014,9040
CI,2013,9177
CI,2012,9314
CI,2011,9451
CI,2010,9588
CI,2009,9725
CI,2008,10093
CI,2007,10630
CI,2006,10500
CI,2005,10396
CI,2004,10200
CI,2003,10275
CI,2002,10200
CI,2001,10200
CI,2000,10200
CI,1999,12e3
CI,1998,13500
CI,1997,11600
CI,1996,11e3
CI,1995,10600
CI,1994,9600
CI,1993,9600
CI,1992,9600
CI,1991,7300
CI,1990,5400
CI,1989,2e3
CI,1988,2e3
CI,1987,2e3
CI,1986,2e3
CI,1985,2e3
CI,1984,1900
CI,1983,1800
CI,1982,1754
CI,1981,1666
CI,1980,1667
CI,1979,1671
CI,1978,1760
CI,1977,1818
CI,1976,1810
CI,1975,1750
CI,1974,2975
CI,1973,2959
CI,1972,2558
CI,1971,2412
CI,1970,2328
CI,1969,2235
CI,1968,2273
CI,1967,2206
CI,1966,2578
CI,1965,2400
CI,1964,2537
CI,1963,2450
CI,1962,2246
CI,1961,1738
HR,2016,8977
HR,2015,10132
HR,2014,9164
HR,2013,9834
HR,2012,11787
HR,2011,10643
HR,2010,8491
